Adapted start,Adapted end,Classification,,,,,
404.75,405.25,other,,,,,
405.25,405.75,traffic,,,,,
405.75,406.25,traffic,,,,,
406.25,406.75,traffic,,,,,
406.75,407.25,other,,,,,
407.25,407.75,traffic,,,,,
407.75,408.25,traffic,,,,,
408.25,408.75,traffic,,,,,
408.75,409.25,traffic,,,,,
409.25,409.75,traffic,,,,,
409.75,410.25,traffic,,,,,
410.25,410.75,traffic,,,,,
410.75,411.25,traffic,,,,,
411.25,411.75,traffic,,,,,
411.75,412.25,traffic,,,,,
412.25,412.75,traffic,,,,,
412.75,413.25,traffic,,,,,
413.25,413.75,traffic,,,,,
413.75,414.25,traffic,,,,,
414.25,414.75,traffic,,,,,
414.75,415.25,traffic,,,,,
415.25,415.75,traffic,,,,,
415.75,416.25,traffic,,,,,
416.25,416.75,other,,,,,
416.75,417.25,traffic,,,,,
417.25,417.75,traffic,,,,,
417.75,418.25,other,,,,,
418.25,418.75,traffic,,,,,
418.75,419.25,other,,,,,
419.25,419.75,other,,,,,
419.75,420.25,other,,,,,
420.25,420.75,other,,,,,
420.75,421.25,other,,,,,
421.25,421.75,traffic,,,,,
421.75,422.25,other,,,,,
422.25,422.75,other,,,,,
